,Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
795,2018,Higley Unified School District,4248,Bridges Elementary School,93009,*,113,92,85,107,110,118,83,*,*,*,*,*,*,708
796,2018,Higley Unified School District,4248,Centennial Elementary School,90315,*,122,102,128,116,127,116,139,*,*,*,*,*,*,850
797,2018,Higley Unified School District,4248,Chaparral Elementary School,89580,*,117,132,129,138,104,127,129,*,*,*,*,*,*,876
798,2018,Higley Unified School District,4248,Cooley Middle School,92259,*,*,*,*,*,*,*,*,405,439,*,*,*,*,844
799,2018,Higley Unified School District,4248,Coronado Elementary School,79227,*,79,91,81,78,89,92,106,*,*,*,*,*,*,616
800,2018,Higley Unified School District,4248,Cortina Elementary,88422,*,94,120,125,118,130,133,146,*,*,*,*,*,*,866
801,2018,Higley Unified School District,4248,Gateway Pointe Elementary,87487,*,94,92,107,99,106,102,123,*,*,*,*,*,*,723
802,2018,Higley Unified School District,4248,Higley High School,79374,*,*,*,*,*,*,*,*,*,*,480,427,376,341,1624
803,2018,Higley Unified School District,4248,Higley Traditional Academy,5168,*,112,96,109,93,91,77,84,*,*,*,*,*,*,662
804,2018,Higley Unified School District,4248,Power Ranch Elementary,80316,*,76,67,56,87,76,90,96,*,*,*,*,*,*,548
805,2018,Higley Unified School District,4248,San Tan Elementary,79375,*,123,121,104,104,113,110,113,*,*,*,*,*,*,788
806,2018,Higley Unified School District,4248,Sossaman Middle School,92260,*,*,*,*,*,*,*,*,526,492,*,*,*,*,1018
807,2018,Higley Unified School District,4248,Williams Field High School,89581,*,*,*,*,*,*,*,*,*,*,492,452,420,390,1754
808,2018,Hillside Elementary District,4482,Hillside Elementary School,6117,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
809,2018,Hirsch Academy A Challenge Foundation,91275,Hirsch Academy A Challenge Foundation,92223,*,27,23,24,32,29,17,*,*,*,*,*,*,*,152
810,2018,Holbrook Unified District,4389,Holbrook High School,5610,*,*,*,*,*,*,*,*,*,*,178,165,143,168,654
811,2018,Holbrook Unified District,4389,Holbrook Junior High School,5609,*,*,*,*,*,*,*,110,135,127,*,*,*,*,372
812,2018,Holbrook Unified District,4389,Hulet Elementary School,5607,23,*,*,*,98,98,97,*,*,*,*,*,*,*,316
813,2018,Holbrook Unified District,4389,Indian Wells Elementary,79377,50,51,54,45,56,50,49,50,*,*,*,*,*,*,405
814,2018,Holbrook Unified District,4389,Park Elementary School,5608,*,85,68,85,*,*,*,*,*,*,*,*,*,*,238
815,2018,"Horizon Community Learning Center, Inc.",79264,Horizon Community Learning Center,78809,*,*,*,*,*,*,*,*,146,134,96,96,111,86,669
816,2018,"Horizon Community Learning Center, Inc.",79264,Horizon Honors Secondary School,78809,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
817,2018,"Horizon Community Learning Center, Inc.",92620,Horizon Honors Elementary School,92621,*,119,93,120,120,124,119,126,*,*,*,*,*,*,821
818,2018,"Humanities and Sciences Academy of the United States, Inc.",4337,Humanities and Science High School - Tempe,79623,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
819,2018,"Humanities and Sciences Academy of the United States, Inc.",4337,International Commerce High School - Tempe,79042,*,*,*,*,*,*,*,*,*,*,*,*,44,196,248
820,2018,Humboldt Unified District,4469,Bradshaw Mountain High School,6097,*,*,*,*,*,*,*,*,*,*,420,432,372,306,1530
821,2018,Humboldt Unified District,4469,Bradshaw Mountain Middle School,6091,*,*,*,*,*,*,*,*,134,152,*,*,*,*,286
822,2018,Humboldt Unified District,4469,Coyote Springs Elementary School,6095,*,86,88,90,88,70,106,93,*,*,*,*,*,*,621
823,2018,Humboldt Unified District,4469,Glassford Hill Middle School,6092,*,*,*,*,*,*,*,*,199,210,*,*,*,*,409
824,2018,Humboldt Unified District,4469,Granville Elementary School,87535,*,75,82,73,97,76,83,89,*,*,*,*,*,*,575
825,2018,Humboldt Unified District,4469,Humboldt Elementary School,6093,*,51,67,50,54,52,83,57,*,*,*,*,*,*,414
826,2018,Humboldt Unified District,4469,Lake Valley Elementary School,6090,*,32,67,58,58,68,66,83,*,*,*,*,*,*,432
827,2018,Humboldt Unified District,4469,Liberty Traditional School,6096,*,94,90,80,90,98,98,78,83,80,*,*,*,*,791
828,2018,Humboldt Unified District,4469,Mountain View Elementary School,6094,*,62,53,66,82,84,90,74,*,*,*,*,*,*,511
